title,start,end,location,url,description,uid,category,series_id,label,weak_label
Team Trivia at Lillian's Pizza,2025-10-09T00:00:00+00:00,2025-10-09T02:00:00+00:00,"Lillian's Pizza 14514 Perdido Key Drive, Pensacola 32507 850-492-0131",https://business.perdidochamber.com/events/details/team-trivia-at-lillian-s-pizza-10-08-2025-39386,"Think you have what it takes to be crowned the trivia master? Join us for Team Trivia every Wednesday at Lillian's Pizza! It's FREE to play, and there are great prizes for the top 3 winning teams. Come early, grab dinner or drinks, and enjoy a fun evening with friends. We start at 7 PM see you there!",e.2644.39386,,e.2644.39386,1.0,1.0
Perdido Chamber: Board of Directors Monthly Meeting,2025-10-09T13:00:00+00:00,2025-10-09T14:00:00+00:00,"The Perdido Key Area Chamber of Commerce Conference Room 15500 Perdido Key Drive Pensacola, FL 32507",https://business.perdidochamber.com/events/details/pkacc-board-meeting-10-09-2025-15428,"This meeting is not open to the public. If you would like to bring any topic of concern to the Chamber Board of Directors, it must be submitted in writing before the monthly Board Meetings. 



Board members are recognized as community leaders and should take an active leadership role in the chamber, serving on one of the committees.  The Nomination Period for the Perdido Chamber Board of Directors begins in August of Each year. If you would like to nominate someone or yourself for the upcoming Board term, please Tammy at the Chamber.",e.2644.15428,,e.2644.15428,0.0,0.0
2025 Perdido Palooza Community Party,2025-10-09T22:00:00+00:00,2025-10-10T02:00:00+00:00,"Warrior Beer Company 10605 Sorrento Rd, Pensacola, FL 32507",https://business.perdidochamber.com/events/details/2025-perdido-palooza-warrior-beer-company-10-09-2025-38804,"Perdido Palooza is a vibrant monthly community party that brings people together in a fun, festive atmosphere! Hosted by the Perdido Key Area Chamber of Commerce and Warrior Beer Company, this event is designed to celebrate the spirit and charm of the Perdido community! Held from May through October, each month features live performances from talented musicians, craft beer, local food trucks, and a strong focus on supporting the community through partnerships with local businesses and artisans.

 

What to Expect at Perdido Palooza:

  Enjoy live music

   Shop & visit with local vendors and businesses 

  Savor craft beer brewed on-site by Warrior Beer Company

  Connect with friends, neighbors, and the community while supporting local talent and our local businesses.

 

When: The second Thursday of every month, from May through October.



Interested in being a part of the event? Check out the sponsorship information and the vendor information here!

 

Celebrate local, enjoy the best of Perdido Key, and join us at Perdido Palooza for an unforgettable experience. Let's raise a glass to community, music, food, and fun!

 
 



All sales are final and non-refundable. The Perdido Key Area Chamber of Commerce will not be responsible for reselling your booth space if you are unable to attend.



By attending this event, you consent to photography, video recording, and its/their release, publication, or reproduction to be used by the Perdido Key Area Chamber of Commerce for promotional purposes, including on social media, websites, and other marketing materials.",e.2644.38804,,e.2644.38804,0.0,0.0
Music Bingo at Perdido Key Sports Bar,2025-10-10T00:00:00+00:00,2025-10-10T02:00:00+00:00,Perdido Key Sports Bar & Restaurant,https://business.perdidochamber.com/events/details/music-bingo-at-perdido-key-sports-bar-10-09-2025-39343,"Kick off your weekend early with Music Bingo by Team Trivia every Thursday at Perdido Key Sports Bar! We'll be spinning hits from the 60s to the 2000s covering all your favorite genres. It's FREE to play, and we've got prizes for every winner! Come early, grab some dinner or drinks, and enjoy a fun night of music and good vibes. We start at 7 PM see you there!",e.2644.39343,,e.2644.39343,1.0,1.0
"October Spill the Beans, Community Conversations 2025",2025-10-10T12:30:00+00:00,2025-10-10T14:00:00+00:00,"Hub Stacey's at the Point 5851 Galvez Road Pensacola, FL 32507",https://business.perdidochamber.com/events/details/october-spill-the-beans-community-conversations-2025-38344,"The Perdido Key Area Chamber of Commerce presents Spill the Beans, Community Conversations, a series designed to bring the local community together to explore topics that have a direct impact on residents and businesses in and around Perdido Key.



Each session provides an opportunity for attendees to learn about key issues and developments affecting the area, followed by a Q&A session to encourage open dialogue. 



This month's speaker is 

Cinnamon Swift, Secret Santa INC. 



Formed in 1992 in Perdido Key, the organization raises funds year-round to support families and children especially at Christmas and during times of urgent medical or housing needs. Each holiday season, they help families shop for gifts, making sure children experience the joy and excitement of Christmas morning. Beyond the holidays, they step in when hardships arise, offering vital assistance and reassurance to those facing difficult times. The spirit of giving is carried on well beyond the holiday season, bringing hope, comfort, and community support throughout the year.



Light pastries and coffee will be available for attendees, provided courtesy of our host, Hub Stacey's at The Point, while supplies last. Whether you're looking to stay informed about local issues or expand your network, Spill the Beans offers a relaxed and welcoming atmosphere to engage with community leaders and fellow business owners.",e.2644.38344,,e.2644.38344,0.0,1.0
Halloween at OWA,2025-10-11,2025-10-12,Downtown OWA,https://business.perdidochamber.com/events/details/halloween-at-owa-39472,"Find frightful fun in Downtown OWA for a Halloween season full of candy, costumes, and more! Starting October 11th, join us on Saturdays and Sundays as Downtown OWA transforms into a spooktacular destination filled with thrilling events for all ages.



From an ALL-NEW Drone Show at HalGLOWeen to four-legged fun at Howl-O-Ween, there's something new to experience each week! Kids can enjoy trick-or-treating on select dates, while families and friends can gather for events like Monster Bash and Island BOOvie Nights.



Check out all the details: https://visitowa.com/halloween-at-owa/.



Save the dates below for a Halloween celebration that will leave you screaming for more!

 

Schedule of Events

Saturday, October 11th

	2:00pm-8:00pm:
	
		Howl-o-ween | Check out the details here: https://visitowa.com/halloween-at-owa/.
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
	
	
	4:00pm-7:00pm: Festive Marquee Light Photo Ops throughout Downtown OWA

Sunday, October 12th


	4:00pm-7:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Halloweentown

Saturday, October 18th


	2:00pm-6:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Live DJ music at the Splashpad
	
	
	2:00pm-9:00pm: Festive Marquee Light Photo Ops throughout Downtown OWA
	6:00pm-9:00pm: HalGLOWeen & Drone Show in Downtown OWA | Check out the details here: https://visitowa.com/halgloween-drone-show/.

Sunday, October 19th


	4:00pm-7:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Ghost Hunt at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Hocus Pocus

Saturday, October 25th | Trick-or-Treating


	11:00 am-9:00 pm: Monster Bash in Downtown OWA | Check out the details here: https://visitowa.com/monster-bash/.
	1:00pm-9:00pm: Kids Activities:
	
		DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
		Ghost Hunt at the Waffles R Wild Alcove
		Witch Hat Ring Toss at the Native Treasures Alcove
	
	
	4:00pm-7:00pm:
	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	

Sunday, October 26th | Trick-or-Treating


	4:00pm-7:00pm:

	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Kids Activities:
		
			DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
			Ghost Hunt at the Waffles R Wild Alcove
			Creative Cruiser Pumpkin Decorating at the Splashpad
		
		
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Double Double Toil and Trouble

Thursday, October 31st | Trick-or-Treating


	4:00pm-7:00pm:

	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Kids Activities:
		
			DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
			Ghost Hunt at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Natie Treasures Alcove
		
		
		Live DJ music at the Splashpad
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA",e.2644.39472,,e.2644.39472,1.0,
Howl-o-ween,2025-10-11T19:00:00+00:00,2025-10-12T01:00:00+00:00,Downtown OWA,https://business.perdidochamber.com/events/details/howl-o-ween-39471,"Bring the whole family, two-legged and four-legged, for Howl-o-ween in Downtown OWA on October 11th! Kids can enjoy free crafts, face painting, carnival games, and festive activities, while pups get their chance to shine in the Halloween Dog Costume Contest on OWA Island. With categories like Cutest, Funniest, Spookiest, and Best Owner/Dog Duo, furry contestants can win cash prizes up to $100. Registration is just $10 in advance or $15 the day of, with all proceeds benefiting the Baldwin County Animal Shelter. After the contest, stick around for Island Movie Night featuring Scooby-Doo 2: Monsters Unleashed. It's a paw-some way to celebrate Halloween with the whole family while giving back to a great cause!



Register your pup for the Halloween Costume Contest today: https://visitowa.com/howl-o-ween/",e.2644.39471,,e.2644.39471,1.0,1.0
A Choral Society Mixtape,2025-10-12T00:30:00+00:00,2025-10-12T02:00:00+00:00,"Cokesbury Church 5725 N 9th Ave, Pensacola, FL 32504",https://business.perdidochamber.com/events/details/a-choral-society-mixtape-39461,"THE CHORAL SOCIETY of PENSACOLA: PRESENTS A Choral Society Mixtape on Saturday, October 11, 2025 at 7:30pm. Over many months, concertgoers responded via survey voting on pieces they'd like to hear us perform. We've chosen a varied program from the requests, ranging from familiar to rarely heard. The Choral Society of Pensacola invites music lovers to experience this concert, in the sanctuary of Cokesbury Church (5725 North Ninth Avenue). The concert also includes   ""One Day More"" from Les Miserables (Claude-Michel Schonberg)   the clear winner according to the polls   ""Lacrymosa"" from Requiem (Mozart)   a close runner-up and audience favorite   ""Bridge Over Troubled Water"" (Paul Simon, arr. Shaw)   ""Sure on This Shining Night"" (Morten Lauridsen)   ""Daemon Irrepit Callidus"" (Gyorgy Orban) Directing our 105-voice chorus, we are excited to welcome back two Directors-Emeritus: Xiaolun Chen and Paul McGahie alongside current Artistic Director Peter Steenblik. They are joined by pianist Isabelle Areola. Steenblik will post a preview of the program on the Choral Society's YouTube channel on Monday, September 29th. Tickets may be purchased at Purplepass.com or through the Pensacola State College Department of Performing Arts ticket office (850-484-1847). For concerns about accessibility or any other questions, email support@choralsocietyofpensacola.org.",e.2644.39461,,e.2644.39461,1.0,1.0
Halloween at OWA,2025-10-12,2025-10-13,Downtown OWA,https://business.perdidochamber.com/events/details/halloween-at-owa-10-12-2025-39473,"Find frightful fun in Downtown OWA for a Halloween season full of candy, costumes, and more! Starting October 11th, join us on Saturdays and Sundays as Downtown OWA transforms into a spooktacular destination filled with thrilling events for all ages.



From an ALL-NEW Drone Show at HalGLOWeen to four-legged fun at Howl-O-Ween, there's something new to experience each week! Kids can enjoy trick-or-treating on select dates, while families and friends can gather for events like Monster Bash and Island BOOvie Nights.



Check out all the details: https://visitowa.com/halloween-at-owa/.



Save the dates below for a Halloween celebration that will leave you screaming for more!

 

Schedule of Events

Saturday, October 11th

	2:00pm-8:00pm:
	
		Howl-o-ween | Check out the details here: https://visitowa.com/halloween-at-owa/.
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
	
	
	4:00pm-7:00pm: Festive Marquee Light Photo Ops throughout Downtown OWA

Sunday, October 12th


	4:00pm-7:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Halloweentown

Saturday, October 18th


	2:00pm-6:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Live DJ music at the Splashpad
	
	
	2:00pm-9:00pm: Festive Marquee Light Photo Ops throughout Downtown OWA
	6:00pm-9:00pm: HalGLOWeen & Drone Show in Downtown OWA | Check out the details here: https://visitowa.com/halgloween-drone-show/.

Sunday, October 19th


	4:00pm-7:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Ghost Hunt at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Hocus Pocus

Saturday, October 25th | Trick-or-Treating


	11:00 am-9:00 pm: Monster Bash in Downtown OWA | Check out the details here: https://visitowa.com/monster-bash/.
	1:00pm-9:00pm: Kids Activities:
	
		DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
		Ghost Hunt at the Waffles R Wild Alcove
		Witch Hat Ring Toss at the Native Treasures Alcove
	
	
	4:00pm-7:00pm:
	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	

Sunday, October 26th | Trick-or-Treating


	4:00pm-7:00pm:

	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Kids Activities:
		
			DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
			Ghost Hunt at the Waffles R Wild Alcove
			Creative Cruiser Pumpkin Decorating at the Splashpad
		
		
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Double Double Toil and Trouble

Thursday, October 31st | Trick-or-Treating


	4:00pm-7:00pm:

	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Kids Activities:
		
			DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
			Ghost Hunt at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Natie Treasures Alcove
		
		
		Live DJ music at the Splashpad
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA",e.2644.39473,,e.2644.39473,1.0,
Flora-Bama Annual Oktoberfest,2025-10-12T20:00:00+00:00,2025-10-12T23:00:00+00:00,"Flora-Bama Lounge Package & Oyster Bar 17401 Perdido Key Dr. Perdido Key, FL. 32507",https://business.perdidochamber.com/events/details/flora-bama-annual-oktoberfest-38847,"Sunday, October 12th



3pm to 6pm

Break out your lederhosen for the Flora-Bama's Oktoberfest! Receive a free drink upon entry for those 21 and up, 25% off in the gift shop, and complimentary German food from the buffet (while supplies last). The stein hoisting competition sponsored by Samuel Adams will begin at 3pm. Food is served at 4pm and the menu includes Beer Brats, Sauerkraut, and German Potato Salad.

We have a FREE stein to those who participate in the stein hoisting contest. Followed by live music by The Brats at 4pm in the Bama Dome. This New Orleans based polka band will have you laughing and dancing all evening!

Timeline of Events:

2pm - Registration Begins for Stein Hoisting Competition. We will only accept the first 8 females to sign up for the female heat and the first 16 males to sign up for the two male heats. 

3pm - Stein Hoisting Competition Begins

4pm - Food is served and The Brats begin",e.2644.38847,,e.2644.38847,1.0,0.0
Music Bingo at Lillian's Pizza,2025-10-14T00:00:00+00:00,2025-10-14T02:00:00+00:00,"Lillian's Pizza 14514 Perdido Key Drive, Pensacola 32507 850-492-0131",https://business.perdidochamber.com/events/details/music-bingo-at-lillian-s-pizza-10-13-2025-39365,"Kick off your weekend early with Music Bingo by Team Trivia every Monday at Lillian's Pizza! We'll be spinning hits from the 60s to the 2000s covering all your favorite genres. It's FREE to play, and we've got prizes for every winner! Come early, grab some dinner or drinks, and enjoy a fun night of music and good vibes. We start at 7 PM see you there!",e.2644.39365,,e.2644.39365,1.0,1.0
