title,description,location,start,end,url,uid,category,last_modified,created,source_ics,source_page
Team Trivia at Perdido Key Sports Bar,"Think you have what it takes to be crowned the trivia master? Join us for Team Trivia every Tuesday at Perdido Key Sports Bar! It's FREE to play, and there are great prizes for the top 3 winning teams. Come early, grab dinner or drinks, and enjoy a fun evening with friends. We start at 7 PM see you there!","Perdido Key Sports Bar & Restaurant 13583 Perdido Key Drive, Pensacola 32507",2025-10-08T00:00:00+00:00,2025-10-08T02:00:00+00:00,https://business.perdidochamber.com/events/details/team-trivia-at-perdido-key-sports-bar-10-07-2025-39122,e.2644.39122,,,,https://business.perdidochamber.com/events/ical/team-trivia-at-perdido-key-sports-bar-10-07-2025-39122.ics,https://business.perdidochamber.com/events/details/team-trivia-at-perdido-key-sports-bar-10-07-2025-39122?calendarMonth=2025-10-01
25/26 Leadership Perdido Key - Class 2 Tourism,"Leaders are not born; they are developed. We must ensure the success of our community by cultivating talented individuals who will emerge and lead us into the future. There is no better training ground for our future leaders than Leadership Perdido Key (LPK). The keys to the future of Northwest Florida are knowledgeable and skilled leaders who have an awareness and understanding of all facets of our community, including local government, business, tourism/hospitality, environment, military, and more.



Leadership Perdido Key is a comprehensive leadership development program designed to empower individuals with the skills, knowledge, and networking needed to become effective leaders in their communities. 

Participants in Leadership Perdido Key will come from diverse backgrounds and industries, reflecting the community's rich tapestry of talent and expertise. Through a series of workshops, seminars, and experiential learning activities, participants have the opportunity to deepen their understanding of Perdido Key area and hone their leadership capabilities.

The program will feature guest speakers who are prominent leaders in various fields, providing valuable insights.  Additionally, participants may engage in hands-on projects and community initiatives aimed at making a positive impact in Perdido Key and surrounding areas.

Overall, Leadership Perdido Key aims to cultivate a new generation of leaders who are equipped to address the challenges and opportunities facing their communities, fostering a culture of collaboration, innovation, and service.



Click here to download information & application packet

Application deadline is August 1, 2025



Sponsorship information



 
The Perdido Key Area Chamber of Commerce extends its congratulations to the following individuals selected for the 2025-26 Leadership Perdido Key class:


	Alicia Popper, Pensacola Habitat for Humanity
	Amanda Long, Pointe South
	Cheyenne Sherbundy, Alexander Hines Construction, LLC
	Cinnamon Swift, Pirates of Lost Treasure & Secret Santa
	Clay Hines, Alexander Hines Construction, LLC
	Clayton Wissmann, CoastEase
	Juli Meyer, Flora-Bama
	Kaila Parker, Reliance Mortgage
	Karla Boyd, Holiday Harbor Marina
	Katy Novak, Perdido Realty Vacations
	Kendall Loper
	Lauren Brown, Perdido Key Area Chamber of Commerce
	Ronald Rivera, Escambia County Sheriff's Office
	Sadie O'Gara, Lost Key Group- Levin Rinke Realty
	Steve Stroberger, Escambia County D1 County Commissioner
	Tony Tampary, Escambia County Sheriff's Office","Session Schedule Regular sessions are scheduled from 9:00 a.m. to 4:00 p.m. They will be held in different locations based on the class session topic. 2025 Opening Reception - August 21 Local Government - September 10 Tourism - October 8 Environment - November 12 Military - December 10 2026 Education & Healthcare January 14 Graduation/Annual Dinner January 20 Class project - TBD While we try to keep sessions consistent, sessions are subject to change depending on unforeseen planning conflicts.",2025-10-08T14:00:00+00:00,2025-10-08T21:00:00+00:00,https://business.perdidochamber.com/events/details/25-26-leadership-perdido-key-class-2-tourism-39001,e.2644.39001,,,,https://business.perdidochamber.com/events/ical/25-26-leadership-perdido-key-class-2-tourism-39001.ics,https://business.perdidochamber.com/events/details/25-26-leadership-perdido-key-class-2-tourism-39001?calendarMonth=2025-10-01
Perdido Rotary Club,"Rotary Club meeting, speaker TBD","Perdido Key Chamber of Commerce/Fire Station Community Room, 15500 Perdido Key Drive",2025-10-08T17:00:00+00:00,2025-10-08T18:00:00+00:00,https://business.perdidochamber.com/events/details/perdido-rotary-club-39080,e.2644.39080,,,,https://business.perdidochamber.com/events/ical/perdido-rotary-club-39080.ics,https://business.perdidochamber.com/events/details/perdido-rotary-club-39080?calendarMonth=2025-10-01
"Florida SBDC at UWF Presents ""Starting a Business""","So you've got that business idea. You may not know the first steps, or you may want some guidance on if you're taking the right steps. Let's work with the ideas that have been forming in your head and see if we can make them into a tangible, feasible small business. In this three-hour workshop, we'll take a deep dive into the following aspects of setting up a successful business:

 


	Is there a need for your product or service?
	Can you make money at it?
	Are you the right person to bring this to market?
	Is this business compatible with your personal goals?
	What rules, laws, and licensing apply to your business?
	What are funding options for your business?
	What about marketing strategies, legal structures, and taxation?
	What are your available resources?


Also, after attending this workshop you'll have access to a Florida SBDC Business Consultant to assist you at no cost as you create your business plan and move toward your goals!

 

*UWF students and employees may attend SBDC workshops at no cost. Contact us at 850-474-2528 to register with your Nautilus Card number.

 

Please note: No refund credit without 48-hour notice. Contact us at sbdc@uwf.edu or 850-474-2528 with questions.

 

Brought to you in part by Wells Fargo.","Gulf Breeze Area Chamber of Commerce 3044 Gulf Breeze Parkway, Gulf Breeze, Florida 32563",2025-10-08T18:00:00+00:00,2025-10-08T21:00:00+00:00,https://business.perdidochamber.com/events/details/florida-sbdc-at-uwf-presents-starting-a-business-10-08-2025-39446,e.2644.39446,,,,https://business.perdidochamber.com/events/ical/florida-sbdc-at-uwf-presents-starting-a-business-10-08-2025-39446.ics,https://business.perdidochamber.com/events/details/florida-sbdc-at-uwf-presents-starting-a-business-10-08-2025-39446?calendarMonth=2025-10-01
Team Trivia at Lillian's Pizza,"Think you have what it takes to be crowned the trivia master? Join us for Team Trivia every Wednesday at Lillian's Pizza! It's FREE to play, and there are great prizes for the top 3 winning teams. Come early, grab dinner or drinks, and enjoy a fun evening with friends. We start at 7 PM see you there!","Lillian's Pizza 14514 Perdido Key Drive, Pensacola 32507 850-492-0131",2025-10-09T00:00:00+00:00,2025-10-09T02:00:00+00:00,https://business.perdidochamber.com/events/details/team-trivia-at-lillian-s-pizza-10-08-2025-39386,e.2644.39386,,,,https://business.perdidochamber.com/events/ical/team-trivia-at-lillian-s-pizza-10-08-2025-39386.ics,https://business.perdidochamber.com/events/details/team-trivia-at-lillian-s-pizza-10-08-2025-39386?calendarMonth=2025-10-01
Perdido Chamber: Board of Directors Monthly Meeting,"This meeting is not open to the public. If you would like to bring any topic of concern to the Chamber Board of Directors, it must be submitted in writing before the monthly Board Meetings. 



Board members are recognized as community leaders and should take an active leadership role in the chamber, serving on one of the committees.  The Nomination Period for the Perdido Chamber Board of Directors begins in August of Each year. If you would like to nominate someone or yourself for the upcoming Board term, please Tammy at the Chamber.","The Perdido Key Area Chamber of Commerce Conference Room 15500 Perdido Key Drive Pensacola, FL 32507",2025-10-09T13:00:00+00:00,2025-10-09T14:00:00+00:00,https://business.perdidochamber.com/events/details/pkacc-board-meeting-10-09-2025-15428,e.2644.15428,,,,https://business.perdidochamber.com/events/ical/pkacc-board-meeting-10-09-2025-15428.ics,https://business.perdidochamber.com/events/details/pkacc-board-meeting-10-09-2025-15428?calendarMonth=2025-10-01
Trick or Dink Open Play,"Get ready for a spooktacular time at Trick or Dink Open Play at Pickleball at OWA! Come celebrate the season with us every Thursday in October from 1:00 to 5:00 PM. Non-members play for $7, and members play free! Grab your BONES (paddles) and bring your ghostly crew for an afternoon of friendly competition. It's the perfect way to enjoy the season!



Check out all the details and register here: https://visitowa.com/entertainment/.",Pickleball at OWA,2025-10-09T18:00:00+00:00,2025-10-09T22:00:00+00:00,https://business.perdidochamber.com/events/details/trick-or-dink-open-play-10-09-2025-39467,e.2644.39467,,,,https://business.perdidochamber.com/events/ical/trick-or-dink-open-play-10-09-2025-39467.ics,https://business.perdidochamber.com/events/details/trick-or-dink-open-play-10-09-2025-39467?calendarMonth=2025-10-01
2025 Perdido Palooza Community Party,"Perdido Palooza is a vibrant monthly community party that brings people together in a fun, festive atmosphere! Hosted by the Perdido Key Area Chamber of Commerce and Warrior Beer Company, this event is designed to celebrate the spirit and charm of the Perdido community! Held from May through October, each month features live performances from talented musicians, craft beer, local food trucks, and a strong focus on supporting the community through partnerships with local businesses and artisans.

 

What to Expect at Perdido Palooza:

  Enjoy live music

   Shop & visit with local vendors and businesses 

  Savor craft beer brewed on-site by Warrior Beer Company

  Connect with friends, neighbors, and the community while supporting local talent and our local businesses.

 

When: The second Thursday of every month, from May through October.



Interested in being a part of the event? Check out the sponsorship information and the vendor information here!

 

Celebrate local, enjoy the best of Perdido Key, and join us at Perdido Palooza for an unforgettable experience. Let's raise a glass to community, music, food, and fun!

 
 



All sales are final and non-refundable. The Perdido Key Area Chamber of Commerce will not be responsible for reselling your booth space if you are unable to attend.



By attending this event, you consent to photography, video recording, and its/their release, publication, or reproduction to be used by the Perdido Key Area Chamber of Commerce for promotional purposes, including on social media, websites, and other marketing materials.","Warrior Beer Company 10605 Sorrento Rd, Pensacola, FL 32507",2025-10-09T22:00:00+00:00,2025-10-10T02:00:00+00:00,https://business.perdidochamber.com/events/details/2025-perdido-palooza-warrior-beer-company-10-09-2025-38804,e.2644.38804,,,,https://business.perdidochamber.com/events/ical/2025-perdido-palooza-warrior-beer-company-10-09-2025-38804.ics,https://business.perdidochamber.com/events/details/2025-perdido-palooza-warrior-beer-company-10-09-2025-38804?calendarMonth=2025-10-01
Buzz Runners,"All are welcome, no matter your pace! Whether you're a speedy sprinter, steady jogger, or happy walker, this is the perfect way to get outside, meet new friends, and kick off your evening right.

 

Join us for a relaxed 5K run/walk, then stick around for good vibes, cold drinks, and $1 off pints after the run!",Beach Buzz 12700 Gulf Beach Highway,2025-10-09T22:30:00+00:00,2025-10-09T23:30:00+00:00,https://business.perdidochamber.com/events/details/buzz-runners-39490,e.2644.39490,,,,https://business.perdidochamber.com/events/ical/buzz-runners-39490.ics,https://business.perdidochamber.com/events/details/buzz-runners-39490?calendarMonth=2025-10-01
Music Bingo at Perdido Key Sports Bar,"Kick off your weekend early with Music Bingo by Team Trivia every Thursday at Perdido Key Sports Bar! We'll be spinning hits from the 60s to the 2000s covering all your favorite genres. It's FREE to play, and we've got prizes for every winner! Come early, grab some dinner or drinks, and enjoy a fun night of music and good vibes. We start at 7 PM see you there!",Perdido Key Sports Bar & Restaurant,2025-10-10T00:00:00+00:00,2025-10-10T02:00:00+00:00,https://business.perdidochamber.com/events/details/music-bingo-at-perdido-key-sports-bar-10-09-2025-39343,e.2644.39343,,,,https://business.perdidochamber.com/events/ical/music-bingo-at-perdido-key-sports-bar-10-09-2025-39343.ics,https://business.perdidochamber.com/events/details/music-bingo-at-perdido-key-sports-bar-10-09-2025-39343?calendarMonth=2025-10-01
"October Spill the Beans, Community Conversations 2025","The Perdido Key Area Chamber of Commerce presents Spill the Beans, Community Conversations, a series designed to bring the local community together to explore topics that have a direct impact on residents and businesses in and around Perdido Key.



Each session provides an opportunity for attendees to learn about key issues and developments affecting the area, followed by a Q&A session to encourage open dialogue. 



This month's speaker is 

Cinnamon Swift, Secret Santa INC. 



Formed in 1992 in Perdido Key, the organization raises funds year-round to support families and children especially at Christmas and during times of urgent medical or housing needs. Each holiday season, they help families shop for gifts, making sure children experience the joy and excitement of Christmas morning. Beyond the holidays, they step in when hardships arise, offering vital assistance and reassurance to those facing difficult times. The spirit of giving is carried on well beyond the holiday season, bringing hope, comfort, and community support throughout the year.



Light pastries and coffee will be available for attendees, provided courtesy of our host, Hub Stacey's at The Point, while supplies last. Whether you're looking to stay informed about local issues or expand your network, Spill the Beans offers a relaxed and welcoming atmosphere to engage with community leaders and fellow business owners.","Hub Stacey's at the Point 5851 Galvez Road Pensacola, FL 32507",2025-10-10T12:30:00+00:00,2025-10-10T14:00:00+00:00,https://business.perdidochamber.com/events/details/october-spill-the-beans-community-conversations-2025-38344,e.2644.38344,,,,https://business.perdidochamber.com/events/ical/october-spill-the-beans-community-conversations-2025-38344.ics,https://business.perdidochamber.com/events/details/october-spill-the-beans-community-conversations-2025-38344?calendarMonth=2025-10-01
Halloween at OWA,"Find frightful fun in Downtown OWA for a Halloween season full of candy, costumes, and more! Starting October 11th, join us on Saturdays and Sundays as Downtown OWA transforms into a spooktacular destination filled with thrilling events for all ages.



From an ALL-NEW Drone Show at HalGLOWeen to four-legged fun at Howl-O-Ween, there's something new to experience each week! Kids can enjoy trick-or-treating on select dates, while families and friends can gather for events like Monster Bash and Island BOOvie Nights.



Check out all the details: https://visitowa.com/halloween-at-owa/.



Save the dates below for a Halloween celebration that will leave you screaming for more!

 

Schedule of Events

Saturday, October 11th

	2:00pm-8:00pm:
	
		Howl-o-ween | Check out the details here: https://visitowa.com/halloween-at-owa/.
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
	
	
	4:00pm-7:00pm: Festive Marquee Light Photo Ops throughout Downtown OWA

Sunday, October 12th


	4:00pm-7:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Halloweentown

Saturday, October 18th


	2:00pm-6:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Live DJ music at the Splashpad
	
	
	2:00pm-9:00pm: Festive Marquee Light Photo Ops throughout Downtown OWA
	6:00pm-9:00pm: HalGLOWeen & Drone Show in Downtown OWA | Check out the details here: https://visitowa.com/halgloween-drone-show/.

Sunday, October 19th


	4:00pm-7:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Ghost Hunt at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Hocus Pocus

Saturday, October 25th | Trick-or-Treating


	11:00 am-9:00 pm: Monster Bash in Downtown OWA | Check out the details here: https://visitowa.com/monster-bash/.
	1:00pm-9:00pm: Kids Activities:
	
		DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
		Ghost Hunt at the Waffles R Wild Alcove
		Witch Hat Ring Toss at the Native Treasures Alcove
	
	
	4:00pm-7:00pm:
	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	

Sunday, October 26th | Trick-or-Treating


	4:00pm-7:00pm:

	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Kids Activities:
		
			DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
			Ghost Hunt at the Waffles R Wild Alcove
			Creative Cruiser Pumpkin Decorating at the Splashpad
		
		
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Double Double Toil and Trouble

Thursday, October 31st | Trick-or-Treating


	4:00pm-7:00pm:

	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Kids Activities:
		
			DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
			Ghost Hunt at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Natie Treasures Alcove
		
		
		Live DJ music at the Splashpad
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA",Downtown OWA,2025-10-11,2025-10-12,https://business.perdidochamber.com/events/details/halloween-at-owa-39472,e.2644.39472,,,,https://business.perdidochamber.com/events/ical/halloween-at-owa-39472.ics,https://business.perdidochamber.com/events/details/halloween-at-owa-39472?calendarMonth=2025-10-01
Howl-o-ween,"Bring the whole family, two-legged and four-legged, for Howl-o-ween in Downtown OWA on October 11th! Kids can enjoy free crafts, face painting, carnival games, and festive activities, while pups get their chance to shine in the Halloween Dog Costume Contest on OWA Island. With categories like Cutest, Funniest, Spookiest, and Best Owner/Dog Duo, furry contestants can win cash prizes up to $100. Registration is just $10 in advance or $15 the day of, with all proceeds benefiting the Baldwin County Animal Shelter. After the contest, stick around for Island Movie Night featuring Scooby-Doo 2: Monsters Unleashed. It's a paw-some way to celebrate Halloween with the whole family while giving back to a great cause!



Register your pup for the Halloween Costume Contest today: https://visitowa.com/howl-o-ween/",Downtown OWA,2025-10-11T19:00:00+00:00,2025-10-12T01:00:00+00:00,https://business.perdidochamber.com/events/details/howl-o-ween-39471,e.2644.39471,,,,https://business.perdidochamber.com/events/ical/howl-o-ween-39471.ics,https://business.perdidochamber.com/events/details/howl-o-ween-39471?calendarMonth=2025-10-01
