title,description,location,start,end,url,uid,category,last_modified,created,source_ics,source_page,is_community_event,confidence,needs_review
Team Trivia at Perdido Key Sports Bar,"Think you have what it takes to be crowned the trivia master? Join us for Team Trivia every Tuesday at Perdido Key Sports Bar! It's FREE to play, and there are great prizes for the top 3 winning teams. Come early, grab dinner or drinks, and enjoy a fun evening with friends. We start at 7 PM see you there!","Perdido Key Sports Bar & Restaurant 13583 Perdido Key Drive, Pensacola 32507",2025-10-08T00:00:00+00:00,2025-10-08T02:00:00+00:00,https://business.perdidochamber.com/events/details/team-trivia-at-perdido-key-sports-bar-10-07-2025-39122,e.2644.39122,,,,https://business.perdidochamber.com/events/ical/team-trivia-at-perdido-key-sports-bar-10-07-2025-39122.ics,https://business.perdidochamber.com/events/details/team-trivia-at-perdido-key-sports-bar-10-07-2025-39122?calendarMonth=2025-10-01,1.0,0.9788666679466308,False
Team Trivia at Lillian's Pizza,"Think you have what it takes to be crowned the trivia master? Join us for Team Trivia every Wednesday at Lillian's Pizza! It's FREE to play, and there are great prizes for the top 3 winning teams. Come early, grab dinner or drinks, and enjoy a fun evening with friends. We start at 7 PM see you there!","Lillian's Pizza 14514 Perdido Key Drive, Pensacola 32507 850-492-0131",2025-10-09T00:00:00+00:00,2025-10-09T02:00:00+00:00,https://business.perdidochamber.com/events/details/team-trivia-at-lillian-s-pizza-10-08-2025-39386,e.2644.39386,,,,https://business.perdidochamber.com/events/ical/team-trivia-at-lillian-s-pizza-10-08-2025-39386.ics,https://business.perdidochamber.com/events/details/team-trivia-at-lillian-s-pizza-10-08-2025-39386?calendarMonth=2025-10-01,1.0,0.9850716303791992,False
Trick or Dink Open Play,"Get ready for a spooktacular time at Trick or Dink Open Play at Pickleball at OWA! Come celebrate the season with us every Thursday in October from 1:00 to 5:00 PM. Non-members play for $7, and members play free! Grab your BONES (paddles) and bring your ghostly crew for an afternoon of friendly competition. It's the perfect way to enjoy the season!



Check out all the details and register here: https://visitowa.com/entertainment/.",Pickleball at OWA,2025-10-09T18:00:00+00:00,2025-10-09T22:00:00+00:00,https://business.perdidochamber.com/events/details/trick-or-dink-open-play-10-09-2025-39467,e.2644.39467,,,,https://business.perdidochamber.com/events/ical/trick-or-dink-open-play-10-09-2025-39467.ics,https://business.perdidochamber.com/events/details/trick-or-dink-open-play-10-09-2025-39467?calendarMonth=2025-10-01,1.0,0.978826472293303,False
Buzz Runners,"All are welcome, no matter your pace! Whether you're a speedy sprinter, steady jogger, or happy walker, this is the perfect way to get outside, meet new friends, and kick off your evening right.

 

Join us for a relaxed 5K run/walk, then stick around for good vibes, cold drinks, and $1 off pints after the run!",Beach Buzz 12700 Gulf Beach Highway,2025-10-09T22:30:00+00:00,2025-10-09T23:30:00+00:00,https://business.perdidochamber.com/events/details/buzz-runners-39490,e.2644.39490,,,,https://business.perdidochamber.com/events/ical/buzz-runners-39490.ics,https://business.perdidochamber.com/events/details/buzz-runners-39490?calendarMonth=2025-10-01,1.0,0.978860580376362,False
Music Bingo at Perdido Key Sports Bar,"Kick off your weekend early with Music Bingo by Team Trivia every Thursday at Perdido Key Sports Bar! We'll be spinning hits from the 60s to the 2000s covering all your favorite genres. It's FREE to play, and we've got prizes for every winner! Come early, grab some dinner or drinks, and enjoy a fun night of music and good vibes. We start at 7 PM see you there!",Perdido Key Sports Bar & Restaurant,2025-10-10T00:00:00+00:00,2025-10-10T02:00:00+00:00,https://business.perdidochamber.com/events/details/music-bingo-at-perdido-key-sports-bar-10-09-2025-39343,e.2644.39343,,,,https://business.perdidochamber.com/events/ical/music-bingo-at-perdido-key-sports-bar-10-09-2025-39343.ics,https://business.perdidochamber.com/events/details/music-bingo-at-perdido-key-sports-bar-10-09-2025-39343?calendarMonth=2025-10-01,1.0,0.9788971657339492,False
Halloween at OWA,"Find frightful fun in Downtown OWA for a Halloween season full of candy, costumes, and more! Starting October 11th, join us on Saturdays and Sundays as Downtown OWA transforms into a spooktacular destination filled with thrilling events for all ages.



From an ALL-NEW Drone Show at HalGLOWeen to four-legged fun at Howl-O-Ween, there's something new to experience each week! Kids can enjoy trick-or-treating on select dates, while families and friends can gather for events like Monster Bash and Island BOOvie Nights.



Check out all the details: https://visitowa.com/halloween-at-owa/.



Save the dates below for a Halloween celebration that will leave you screaming for more!

 

Schedule of Events

Saturday, October 11th

	2:00pm-8:00pm:
	
		Howl-o-ween | Check out the details here: https://visitowa.com/halloween-at-owa/.
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
	
	
	4:00pm-7:00pm: Festive Marquee Light Photo Ops throughout Downtown OWA

Sunday, October 12th


	4:00pm-7:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Halloweentown

Saturday, October 18th


	2:00pm-6:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Live DJ music at the Splashpad
	
	
	2:00pm-9:00pm: Festive Marquee Light Photo Ops throughout Downtown OWA
	6:00pm-9:00pm: HalGLOWeen & Drone Show in Downtown OWA | Check out the details here: https://visitowa.com/halgloween-drone-show/.

Sunday, October 19th


	4:00pm-7:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Ghost Hunt at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Hocus Pocus

Saturday, October 25th | Trick-or-Treating


	11:00 am-9:00 pm: Monster Bash in Downtown OWA | Check out the details here: https://visitowa.com/monster-bash/.
	1:00pm-9:00pm: Kids Activities:
	
		DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
		Ghost Hunt at the Waffles R Wild Alcove
		Witch Hat Ring Toss at the Native Treasures Alcove
	
	
	4:00pm-7:00pm:
	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	

Sunday, October 26th | Trick-or-Treating


	4:00pm-7:00pm:

	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Kids Activities:
		
			DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
			Ghost Hunt at the Waffles R Wild Alcove
			Creative Cruiser Pumpkin Decorating at the Splashpad
		
		
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Double Double Toil and Trouble

Thursday, October 31st | Trick-or-Treating


	4:00pm-7:00pm:

	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Kids Activities:
		
			DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
			Ghost Hunt at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Natie Treasures Alcove
		
		
		Live DJ music at the Splashpad
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA",Downtown OWA,2025-10-11,2025-10-12,https://business.perdidochamber.com/events/details/halloween-at-owa-39472,e.2644.39472,,,,https://business.perdidochamber.com/events/ical/halloween-at-owa-39472.ics,https://business.perdidochamber.com/events/details/halloween-at-owa-39472?calendarMonth=2025-10-01,1.0,0.9896135808582285,False
Howl-o-ween,"Bring the whole family, two-legged and four-legged, for Howl-o-ween in Downtown OWA on October 11th! Kids can enjoy free crafts, face painting, carnival games, and festive activities, while pups get their chance to shine in the Halloween Dog Costume Contest on OWA Island. With categories like Cutest, Funniest, Spookiest, and Best Owner/Dog Duo, furry contestants can win cash prizes up to $100. Registration is just $10 in advance or $15 the day of, with all proceeds benefiting the Baldwin County Animal Shelter. After the contest, stick around for Island Movie Night featuring Scooby-Doo 2: Monsters Unleashed. It's a paw-some way to celebrate Halloween with the whole family while giving back to a great cause!



Register your pup for the Halloween Costume Contest today: https://visitowa.com/howl-o-ween/",Downtown OWA,2025-10-11T19:00:00+00:00,2025-10-12T01:00:00+00:00,https://business.perdidochamber.com/events/details/howl-o-ween-39471,e.2644.39471,,,,https://business.perdidochamber.com/events/ical/howl-o-ween-39471.ics,https://business.perdidochamber.com/events/details/howl-o-ween-39471?calendarMonth=2025-10-01,1.0,0.9966270114416196,False
A Choral Society Mixtape,"THE CHORAL SOCIETY of PENSACOLA: PRESENTS A Choral Society Mixtape on Saturday, October 11, 2025 at 7:30pm. Over many months, concertgoers responded via survey voting on pieces they'd like to hear us perform. We've chosen a varied program from the requests, ranging from familiar to rarely heard. The Choral Society of Pensacola invites music lovers to experience this concert, in the sanctuary of Cokesbury Church (5725 North Ninth Avenue). The concert also includes   ""One Day More"" from Les Miserables (Claude-Michel Schonberg)   the clear winner according to the polls   ""Lacrymosa"" from Requiem (Mozart)   a close runner-up and audience favorite   ""Bridge Over Troubled Water"" (Paul Simon, arr. Shaw)   ""Sure on This Shining Night"" (Morten Lauridsen)   ""Daemon Irrepit Callidus"" (Gyorgy Orban) Directing our 105-voice chorus, we are excited to welcome back two Directors-Emeritus: Xiaolun Chen and Paul McGahie alongside current Artistic Director Peter Steenblik. They are joined by pianist Isabelle Areola. Steenblik will post a preview of the program on the Choral Society's YouTube channel on Monday, September 29th. Tickets may be purchased at Purplepass.com or through the Pensacola State College Department of Performing Arts ticket office (850-484-1847). For concerns about accessibility or any other questions, email support@choralsocietyofpensacola.org.","Cokesbury Church 5725 N 9th Ave, Pensacola, FL 32504",2025-10-12T00:30:00+00:00,2025-10-12T02:00:00+00:00,https://business.perdidochamber.com/events/details/a-choral-society-mixtape-39461,e.2644.39461,,,,https://business.perdidochamber.com/events/ical/a-choral-society-mixtape-39461.ics,https://business.perdidochamber.com/events/details/a-choral-society-mixtape-39461?calendarMonth=2025-10-01,1.0,0.9788937260285991,False
Halloween at OWA,"Find frightful fun in Downtown OWA for a Halloween season full of candy, costumes, and more! Starting October 11th, join us on Saturdays and Sundays as Downtown OWA transforms into a spooktacular destination filled with thrilling events for all ages.



From an ALL-NEW Drone Show at HalGLOWeen to four-legged fun at Howl-O-Ween, there's something new to experience each week! Kids can enjoy trick-or-treating on select dates, while families and friends can gather for events like Monster Bash and Island BOOvie Nights.



Check out all the details: https://visitowa.com/halloween-at-owa/.



Save the dates below for a Halloween celebration that will leave you screaming for more!

 

Schedule of Events

Saturday, October 11th

	2:00pm-8:00pm:
	
		Howl-o-ween | Check out the details here: https://visitowa.com/halloween-at-owa/.
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
	
	
	4:00pm-7:00pm: Festive Marquee Light Photo Ops throughout Downtown OWA

Sunday, October 12th


	4:00pm-7:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Halloweentown

Saturday, October 18th


	2:00pm-6:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Broom Stick Racing at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Live DJ music at the Splashpad
	
	
	2:00pm-9:00pm: Festive Marquee Light Photo Ops throughout Downtown OWA
	6:00pm-9:00pm: HalGLOWeen & Drone Show in Downtown OWA | Check out the details here: https://visitowa.com/halgloween-drone-show/.

Sunday, October 19th


	4:00pm-7:00pm: 

	
		Kids Activities:
		
			Pumpkin Tic-Tac-Toe at the Splashpad
			Ghost Hunt at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Native Treasures Alcove
		
		
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Hocus Pocus

Saturday, October 25th | Trick-or-Treating


	11:00 am-9:00 pm: Monster Bash in Downtown OWA | Check out the details here: https://visitowa.com/monster-bash/.
	1:00pm-9:00pm: Kids Activities:
	
		DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
		Ghost Hunt at the Waffles R Wild Alcove
		Witch Hat Ring Toss at the Native Treasures Alcove
	
	
	4:00pm-7:00pm:
	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	

Sunday, October 26th | Trick-or-Treating


	4:00pm-7:00pm:

	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Kids Activities:
		
			DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
			Ghost Hunt at the Waffles R Wild Alcove
			Creative Cruiser Pumpkin Decorating at the Splashpad
		
		
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA
	
	
	6:00 pm: Island BOOvie Night: Double Double Toil and Trouble

Thursday, October 31st | Trick-or-Treating


	4:00pm-7:00pm:

	
		Free Trick-or-Treating throughout Downtown OWA | Participating businesses in Downtown OWA will be marked on their windows. **While supplies last**
		Kids Activities:
		
			DIY Trick-or-Treat Bag at the Sweet Tooth Flowerbed
			Ghost Hunt at the Waffles R Wild Alcove
			Witch Hat Ring Toss at the Natie Treasures Alcove
		
		
		Live DJ music at the Splashpad
		Characters Trick-or-Treat Stations throughout Downtown OWA
		Festive Marquee Light Photo Ops throughout Downtown OWA",Downtown OWA,2025-10-12,2025-10-13,https://business.perdidochamber.com/events/details/halloween-at-owa-10-12-2025-39473,e.2644.39473,,,,https://business.perdidochamber.com/events/ical/halloween-at-owa-10-12-2025-39473.ics,https://business.perdidochamber.com/events/details/halloween-at-owa-10-12-2025-39473?calendarMonth=2025-10-01,1.0,0.9896135808582285,False
Flora-Bama Annual Oktoberfest,"Sunday, October 12th



3pm to 6pm

Break out your lederhosen for the Flora-Bama's Oktoberfest! Receive a free drink upon entry for those 21 and up, 25% off in the gift shop, and complimentary German food from the buffet (while supplies last). The stein hoisting competition sponsored by Samuel Adams will begin at 3pm. Food is served at 4pm and the menu includes Beer Brats, Sauerkraut, and German Potato Salad.

We have a FREE stein to those who participate in the stein hoisting contest. Followed by live music by The Brats at 4pm in the Bama Dome. This New Orleans based polka band will have you laughing and dancing all evening!

Timeline of Events:

2pm - Registration Begins for Stein Hoisting Competition. We will only accept the first 8 females to sign up for the female heat and the first 16 males to sign up for the two male heats. 

3pm - Stein Hoisting Competition Begins

4pm - Food is served and The Brats begin","Flora-Bama Lounge Package & Oyster Bar 17401 Perdido Key Dr. Perdido Key, FL. 32507",2025-10-12T20:00:00+00:00,2025-10-12T23:00:00+00:00,https://business.perdidochamber.com/events/details/flora-bama-annual-oktoberfest-38847,e.2644.38847,,,,https://business.perdidochamber.com/events/ical/flora-bama-annual-oktoberfest-38847.ics,https://business.perdidochamber.com/events/details/flora-bama-annual-oktoberfest-38847?calendarMonth=2025-10-01,1.0,0.9793025186963132,False
Music Bingo at Lillian's Pizza,"Kick off your weekend early with Music Bingo by Team Trivia every Monday at Lillian's Pizza! We'll be spinning hits from the 60s to the 2000s covering all your favorite genres. It's FREE to play, and we've got prizes for every winner! Come early, grab some dinner or drinks, and enjoy a fun night of music and good vibes. We start at 7 PM see you there!","Lillian's Pizza 14514 Perdido Key Drive, Pensacola 32507 850-492-0131",2025-10-14T00:00:00+00:00,2025-10-14T02:00:00+00:00,https://business.perdidochamber.com/events/details/music-bingo-at-lillian-s-pizza-10-13-2025-39365,e.2644.39365,,,,https://business.perdidochamber.com/events/ical/music-bingo-at-lillian-s-pizza-10-13-2025-39365.ics,https://business.perdidochamber.com/events/details/music-bingo-at-lillian-s-pizza-10-13-2025-39365?calendarMonth=2025-10-01,1.0,0.978881748534253,False
Team Trivia at Perdido Key Sports Bar,"Think you have what it takes to be crowned the trivia master? Join us for Team Trivia every Tuesday at Perdido Key Sports Bar! It's FREE to play, and there are great prizes for the top 3 winning teams. Come early, grab dinner or drinks, and enjoy a fun evening with friends. We start at 7 PM see you there!","Perdido Key Sports Bar & Restaurant 13583 Perdido Key Drive, Pensacola 32507",2025-10-15T00:00:00+00:00,2025-10-15T02:00:00+00:00,https://business.perdidochamber.com/events/details/team-trivia-at-perdido-key-sports-bar-10-14-2025-39123,e.2644.39123,,,,https://business.perdidochamber.com/events/ical/team-trivia-at-perdido-key-sports-bar-10-14-2025-39123.ics,https://business.perdidochamber.com/events/details/team-trivia-at-perdido-key-sports-bar-10-14-2025-39123?calendarMonth=2025-10-01,1.0,0.9788666679466308,False
Team Trivia at Lillian's Pizza,"Think you have what it takes to be crowned the trivia master? Join us for Team Trivia every Wednesday at Lillian's Pizza! It's FREE to play, and there are great prizes for the top 3 winning teams. Come early, grab dinner or drinks, and enjoy a fun evening with friends. We start at 7 PM see you there!","Lillian's Pizza 14514 Perdido Key Drive, Pensacola 32507 850-492-0131",2025-10-16T00:00:00+00:00,2025-10-16T02:00:00+00:00,https://business.perdidochamber.com/events/details/team-trivia-at-lillian-s-pizza-10-15-2025-39387,e.2644.39387,,,,https://business.perdidochamber.com/events/ical/team-trivia-at-lillian-s-pizza-10-15-2025-39387.ics,https://business.perdidochamber.com/events/details/team-trivia-at-lillian-s-pizza-10-15-2025-39387?calendarMonth=2025-10-01,1.0,0.9850716303791992,False
Trick or Dink Open Play,"Get ready for a spooktacular time at Trick or Dink Open Play at Pickleball at OWA! Come celebrate the season with us every Thursday in October from 1:00 to 5:00 PM. Non-members play for $7, and members play free! Grab your BONES (paddles) and bring your ghostly crew for an afternoon of friendly competition. It's the perfect way to enjoy the season!



Check out all the details and register here: https://visitowa.com/entertainment/.",Pickleball at OWA,2025-10-16T18:00:00+00:00,2025-10-16T22:00:00+00:00,https://business.perdidochamber.com/events/details/trick-or-dink-open-play-10-16-2025-39468,e.2644.39468,,,,https://business.perdidochamber.com/events/ical/trick-or-dink-open-play-10-16-2025-39468.ics,https://business.perdidochamber.com/events/details/trick-or-dink-open-play-10-16-2025-39468?calendarMonth=2025-10-01,1.0,0.978826472293303,False
